TStamp Europe/Helsinki	X [m/s²]	Y [m/s²]	Z [m/s²]
1570546291252	0,254973	0,039227	9,945437
1570546291257	0,294199	0,078453	9,867741
1570546291262	0,098067	0,078453	9,906593
1570546291267	0,215746	0,078453	10,023134
1570546291272	0,294199	-0,039227	10,061987
1570546291277	0,372653	0,039227	10,061987
1570546291282	0,411879	0,078453	9,984290
1570546291287	0,411879	0,078453	9,906593
1570546291292	0,333426	0,039227	9,906593
1570546291297	0,294199	-0,039227	9,906593
1570546291302	0,411879	0,000000	9,984290
1570546291307	0,372653	0,000000	9,867741
1570546291312	0,254973	0,000000	9,945437
1570546291317	0,294199	0,000000	9,984290
1570546291322	0,215746	-0,039227	9,984290
1570546291327	0,215746	0,039227	9,906593
1570546291332	0,333426	0,000000	9,984290
1570546291337	0,411879	0,039227	10,023134
1570546291342	0,333426	0,078453	9,984290
1570546291347	0,333426	0,000000	9,945437
1570546291352	0,372653	0,000000	9,984290
1570546291356	0,294199	0,039227	9,906593
1570546291361	0,372653	0,039227	9,945437
1570546291366	0,411879	0,000000	9,984290
1570546291371	0,451106	0,000000	9,828897
1570546291376	0,490333	0,078453	9,790044
1570546291381	0,451106	0,078453	9,945437
1570546291386	0,411879	0,117680	10,061987
1570546291391	0,333426	0,117680	10,100849
1570546291396	0,294199	0,078453	9,984290
1570546291401	0,254973	0,078453	9,945437
1570546291406	0,294199	0,117680	9,945437
1570546291411	0,333426	0,156906	9,906593
1570546291416	0,294199	0,078453	9,867741
1570546291421	0,333426	0,156906	9,984290
1570546291426	0,372653	0,156906	10,023134
1570546291431	0,372653	0,078453	10,023134
1570546291436	0,333426	0,078453	10,023134
1570546291441	0,333426	0,039227	10,023134
1570546291446	0,372653	0,078453	10,023134
1570546291451	0,372653	0,078453	10,023134
1570546291456	0,294199	0,039227	10,023134
1570546291461	0,333426	0,078453	9,984290
1570546291466	0,294199	-0,039227	9,945437
1570546291471	0,254973	0,000000	9,984290
1570546291476	0,215746	0,000000	9,984290
1570546291481	0,294199	0,000000	9,945437
1570546291486	0,254973	0,000000	10,023134
1570546291490	0,254973	0,039227	9,945437
1570546291495	0,294199	0,078453	9,945437
1570546291500	0,372653	0,039227	9,984290
1570546291505	0,411879	0,039227	9,984290
1570546291510	0,372653	0,039227	9,906593
1570546291515	0,333426	-0,039227	9,906593
1570546291520	0,294199	-0,039227	9,945437
1570546291525	0,254973	0,078453	10,023134
1570546291530	0,254973	0,078453	10,023134
1570546291535	0,215746	0,039227	10,023134
1570546291540	0,254973	0,117680	9,984290
1570546291545	0,176520	0,117680	9,945437
1570546291550	0,333426	0,156906	9,945437
1570546291555	0,372653	0,117680	9,906593
1570546291560	0,333426	0,117680	9,828897
1570546291565	0,294199	0,196133	9,906593
1570546291570	0,333426	0,078453	9,867741
1570546291575	0,215746	0,039227	9,945437
1570546291580	0,215746	0,078453	10,061987
1570546291585	0,294199	0,000000	10,023134
1570546291590	0,372653	0,039227	9,984290
1570546291595	0,411879	0,000000	10,061987
1570546291600	0,215746	0,039227	10,023134
1570546291605	0,294199	0,078453	10,061987
1570546291610	0,294199	0,000000	10,023134
1570546291615	0,254973	-0,039227	10,023134
1570546291620	0,294199	0,039227	9,984290
1570546291624	0,294199	0,078453	9,945437
1570546291629	0,254973	0,078453	9,906593
1570546291634	0,254973	0,078453	9,945437
1570546291639	0,294199	0,078453	10,023134
1570546291644	0,333426	0,078453	10,023134
1570546291649	0,333426	-0,039227	10,023134
1570546291654	0,294199	0,000000	10,023134
1570546291659	0,294199	0,039227	9,984290
1570546291664	0,294199	0,039227	9,945437
1570546291669	0,215746	0,078453	10,023134
1570546291674	0,294199	-0,039227	9,984290
1570546291679	0,372653	0,039227	9,906593
1570546291684	0,411879	0,039227	9,984290
1570546291689	0,333426	0,039227	9,945437
1570546291694	0,411879	0,039227	9,984290
1570546291699	0,333426	0,039227	9,945437
1570546291704	0,294199	0,078453	9,867741
1570546291709	0,333426	0,000000	9,867741
1570546291714	0,333426	0,000000	9,906593
1570546291719	0,333426	0,039227	9,906593
1570546291724	0,333426	0,078453	9,945437
1570546291729	0,294199	0,078453	9,984290
1570546291734	0,372653	0,078453	9,945437
1570546291739	0,333426	0,078453	9,945437
1570546291744	0,372653	0,117680	9,984290
1570546291749	0,372653	0,078453	9,945437
1570546291754	0,372653	0,078453	9,984290
1570546291759	0,411879	0,117680	9,906593
1570546291763	0,254973	0,039227	9,945437
1570546291768	0,254973	0,078453	9,984290
1570546291773	0,254973	0,117680	9,906593
1570546291778	0,294199	0,117680	9,906593
1570546291783	0,333426	0,156906	9,906593
1570546291788	0,294199	0,078453	9,867741
1570546291793	0,294199	0,000000	9,867741
1570546291798	0,372653	-0,078453	9,945437
1570546291803	0,411879	0,039227	9,945437
1570546291808	0,372653	0,117680	9,984290
1570546291813	0,372653	0,078453	9,984290
1570546291818	0,490333	0,039227	9,906593
1570546291823	0,529559	0,117680	9,945437
1570546291828	0,490333	0,156906	9,945437
1570546291833	0,372653	0,117680	9,906593
1570546291838	0,294199	0,078453	9,906593
1570546291843	0,333426	0,078453	9,906593
1570546291848	0,333426	0,078453	9,906593
1570546291853	0,333426	0,078453	9,945437
1570546291858	0,411879	0,039227	9,906593
1570546291863	0,333426	0,039227	9,945437
1570546291868	0,294199	0,078453	10,061987
1570546291873	0,294199	0,078453	10,061987
1570546291878	0,372653	0,039227	9,906593
1570546291883	0,294199	0,039227	9,906593
1570546291888	0,372653	0,039227	9,945437
1570546291893	0,333426	0,117680	9,945437
1570546291897	0,333426	0,039227	9,945437
1570546291902	0,215746	0,078453	9,945437
1570546291907	0,215746	0,039227	9,984290
1570546291912	0,254973	0,117680	9,984290
1570546291917	0,372653	0,078453	9,867741
1570546291922	0,333426	0,000000	9,945437
1570546291927	0,372653	-0,039227	9,945437
1570546291932	0,411879	-0,039227	9,945437
1570546291937	0,451106	-0,039227	9,984290
1570546291942	0,333426	0,000000	9,906593
1570546291947	0,411879	0,039227	9,945437
1570546291952	0,333426	0,117680	9,945437
1570546291957	0,294199	0,117680	9,984290
1570546291962	0,254973	0,078453	10,023134
1570546291967	0,333426	0,000000	9,945437
1570546291972	0,254973	-0,039227	9,945437
1570546291977	0,254973	0,039227	9,867741
1570546291982	0,333426	0,078453	9,790044
1570546291987	0,333426	0,078453	9,828897
1570546291992	0,372653	0,039227	9,906593
1570546291997	0,411879	0,039227	9,906593
1570546292002	0,372653	0,000000	9,945437
1570546292007	0,294199	0,039227	9,945437
1570546292012	0,294199	0,156906	10,023134
1570546292017	0,294199	0,117680	10,023134
1570546292022	0,294199	0,078453	9,984290
1570546292027	0,411879	0,117680	9,945437
1570546292031	0,372653	0,078453	10,023134
1570546292036	0,411879	0,039227	9,984290
1570546292041	0,372653	0,039227	9,984290
1570546292046	0,333426	0,000000	9,984290
1570546292051	0,333426	0,117680	9,945437
1570546292056	0,372653	0,156906	9,945437
1570546292061	0,294199	0,078453	9,945437
1570546292066	0,294199	0,078453	9,906593
1570546292071	0,372653	0,156906	9,867741
1570546292076	0,411879	0,078453	9,945437
1570546292081	0,372653	0,000000	9,945437
1570546292086	0,333426	0,039227	9,984290
1570546292091	0,333426	0,117680	9,906593
1570546292096	0,333426	0,156906	9,906593
1570546292101	0,254973	0,078453	9,906593
1570546292106	0,294199	0,000000	9,945437
1570546292111	0,254973	0,039227	9,945437
1570546292116	0,333426	0,078453	9,984290
1570546292121	0,372653	0,039227	9,906593
1570546292126	0,372653	0,039227	9,984290
1570546292131	0,411879	0,078453	9,945437
1570546292136	0,294199	0,117680	9,867741
1570546292141	0,254973	0,117680	9,945437
1570546292146	0,333426	0,078453	9,984290
1570546292151	0,254973	0,000000	9,984290
1570546292156	0,254973	0,000000	10,061987
1570546292161	0,215746	0,039227	9,440394
1570546292165	0,294199	0,039227	9,945437
1570546292170	0,411879	0,000000	9,945437
1570546292175	0,333426	0,078453	9,906593
1570546292180	0,294199	0,156906	9,906593
1570546292185	0,294199	0,078453	9,906593
1570546292190	0,372653	0,078453	9,945437
1570546292195	0,294199	0,078453	9,984290
1570546292200	0,294199	0,156906	9,945437
